Retailer,Retailer ID,Invoice Date,Region,State,City,Product, Price per Unit ,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,05-02-2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,Outlet
Foot Locker,1185732,06-02-2020,Northeast,New York,New York,Men's Street Footwear,60,1220,73200,36600,Outlet
Foot Locker,1185732,07-02-2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,50875,15262.5,Outlet
Foot Locker,1185732,08-02-2020,Northeast,New York,New York,Women's Street Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,09-02-2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,42500,14875,Outlet
Foot Locker,1185732,10-02-2020,Northeast,New York,New York,Men's Apparel,60,875,52500,15750,Outlet
Foot Locker,1185732,03-03-2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,Outlet
Foot Locker,1185732,04-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,Outlet
Foot Locker,1185732,05-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Foot Locker,1185732,06-03-2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,Outlet
Foot Locker,1185732,07-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,08-03-2020,Northeast,New York,New York,Men's aparel,60,900,54000,16200,Outlet
Foot Locker,1185732,09-03-2020,Northeast,New York,New York,Women's Apparel,65,1050,68250,17062.5,Outlet
Foot Locker,1185732,10-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1275,76500,38250,Outlet
Foot Locker,1185732,11-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,Outlet
Foot Locker,1185732,12-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,Outlet
Foot Locker,1185732,13-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,14-03-2020,Northeast,New York,New York,Men's Apparel,60,925,55500,16650,Outlet
Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,65,1100,71500,17875,Outlet
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,Outlet
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,Outlet
Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,Outlet
Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,46250,16187.5,Outlet
Walmart,1185732,17-04-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,65,1075,69875,17468.75,Outlet
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,60,1200,72000,36000,Outlet
Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,Outlet
Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,Outlet
Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,Outlet
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,Outlet
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,65,1150,74750,37375,Outlet
Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,55,975,53625,16087.5,Outlet
Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,55,920,50600,17710,Outlet
Walmart,1185732,30-04-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,Outlet
Walmart,1185732,01-05-2020,Northeast,New York,New York,Men's Apparel,65,875,56875,17062.5,Outlet
Walmart,1185732,02-05-2020,Northeast,New York,New York,Women's Apparel,70,975,68250,17062.5,Outlet
Walmart,1185732,03-05-2020,Northeast,New York,New York,Men's Street Footwear,65,1200,78000,39000,Outlet
Walmart,1185732,04-05-2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Walmart,1185732,05-05-2020,Northeast,New York,New York,Women's Street Footwear,55,950,52250,18287.5,Outlet
Walmart,1185732,06-05-2020,Northeast,New York,New York,Women's Athletic Footwear,55,900,49500,17325,Outlet
Walmart,1185732,07-05-2020,Northeast,New York,New York,Men's Apparel,65,900,58500,17550,Outlet
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,70,1000,70000,17500,Outlet
Sports Direct,1197831,19-07-2020,Northeast,New York,New York,Men's Street Footwear,25,900,22500,7875,Outlet
Sports Direct,1197831,20-07-2020,Northeast,New York,New York,Men's Athletic Footwear,35,900,31500,11025,Outlet
Sports Direct,1197831,21-07-2020,Northeast,New York,New York,Women's Street Footwear,35,700,24500,8575,Outlet
Sports Direct,1197831,22-07-2020,Northeast,New York,New York,Women's Athletic Footwear,35,700,24500,11025,Outlet
Sports Direct,1197831,23-07-2020,South,Texas,Houston,Men's Apparel,40,550,22000,6600,Outlet
Sports Direct,1197831,24-07-2020,South,Texas,Houston,Women's Apparel,35,700,24500,12250,Outlet
Sports Direct,1197831,25-07-2020,South,Texas,Houston,Men's Street Footwear,25,850,21250,7437.5,Outlet
Sports Direct,1197831,26-07-2020,South,Texas,Houston,Men's Athletic Footwear,35,850,29750,10412.5,Outlet
Sports Direct,1197831,27-07-2020,,Texas,Houston,Women's Street Footwear,35,675,23625,8268.75,Outlet
Sports Direct,1197831,28-07-2020,South,Texas,Houston,Women's Athletic Footwear,35,625,21875,9843.75,Outlet
Sports Direct,1197831,29-07-2020,South,Texas,Houston,Men's Apparel,0,500,20000,6000,Outlet
Sports Direct,1197831,30-07-2020,South,Texas,Houston,Women's Apparel,35,700,24500,12250,Outlet
Sports Direct,1197831,31-07-2020,South,Texas,Houston,Men's Street Footwear,30,875,26250,9187.5,Outlet
Sports Direct,1197831,01-08-2020,,Texas,Houston,Men's Athletic Footwear,40,875,35000,12250,Outlet
Sports Direct,1197831,02-08-2020,South,Texas,Houston,Women's Street Footwear,35,700,24500,8575,Outlet
Sports Direct,1197831,03-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,600,24000,10800,Outlet
Sports Direct,1197831,04-08-2020,South,Texas,Houston,Men's Apparel,45,500,22500,6750,Outlet
Sports Direct,1197831,05-08-2020,South,Texas,Houston,Women's Apparel,40,650,26000,13000,Outlet
Sports Direct,1197831,06-08-2020,South,Texas,Houston,Men's Street Footwear,30,900,27000,9450,Outlet
Sports Direct,1197831,07-08-2020,South,Texas,Houston,Men's Athletic Footwear,40,900,36000,12600,Outlet
Sports Direct,1197831,08-08-2020,South,Texas,Houston,Women's Street Footwear,35,725,25375,8881.25,Outlet
Sports Direct,1197831,09-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,625,25000,11250,Outlet
Walmart,1197831,10-08-2020,South,Texas,Houston,Men's Apparel,45,525,23625,7087.5,Outlet
Walmart,1197831,11-08-2020,South,Texas,Houston,Women's Apparel,40,800,32000,16000,Outlet
Walmart,1197831,12-08-2020,South,Texas,Houston,Men's Street Footwear,30,925,27750,9712.5,Outlet
Walmart,1197831,13-08-2020,South,Texas,Houston,Men's Athletic Footwear,40,925,37000,12950,Outlet
Walmart,1197831,14-08-2020,South,Texas,Houston,Women's Street Footwear,35,775,27125,9493.75,Outlet
Walmart,1197831,15-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,700,28000,12600,Outlet
Walmart,1197831,16-08-2020,South,Texas,Houston,Men's Apparel,45,600,27000,8100,Outlet
Walmart,1197831,17-08-2020,South,Texas,Houston,Women's Apparel,40,950,38000,19000,Outlet
Walmart,1197831,18-08-2020,South,Texas,Houston,Men's Street Footwear,40,950,38000,13300,Outlet
Walmart,1197831,19-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,20-08-2020,South,Texas,Houston,Women's Street Footwear,40,800,32000,11200,Outlet
Walmart,1197831,21-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,750,30000,13500,Outlet
Walmart,1197831,22-08-2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,23-08-2020,South,Texas,Houston,Women's Apparel,50,1000,50000,25000,Outlet
Walmart,1197831,24-08-2020,South,Texas,Houston,Men's Street Footwear,40,950,38000,13300,Outlet
Walmart,1197831,25-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,26-08-2020,South,Texas,Houston,Women's Street Footwear,40,1100,44000,15400,Outlet
Walmart,1197831,27-08-2020,South,Texas,Houston,Women's Athletic Footwear,40,700,28000,12600,Outlet
Walmart,1197831,28-08-2020,South,Texas,Houston,Men's Apparel,45,700,31500,9450,Outlet
Walmart,1197831,29-08-2020,South,Texas,Houston,Women's Apparel,50,975,48750,24375,Outlet
Walmart,1197831,30-08-2020,South,Texas,Houston,Men's Street Footwear,40,925,37000,12950,Outlet
Walmart,1197831,31-08-2020,South,Texas,Houston,Men's Athletic Footwear,45,925,41625,14568.75,Outlet
Walmart,1197831,01-09-2020,South,Texas,Houston,Women's Street Footwear,40,1100,44000,15400,Outlet
Walmart,1197831,02-09-2020,South,Texas,Houston,Women's Athletic Footwear,40,650,26000,11700,Outlet
Walmart,1197831,03-09-2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,04-09-2020,South,Texas,Houston,Women's Apparel,50,900,45000,22500,Outlet
Walmart,1197831,05-09-2020,South,Texas,Houston,Men's Street Footwear,45,850,38250,13387.5,Outlet
Walmart,1197831,06-09-2020,South,Texas,Houston,Men's Athletic Footwear,45,850,38250,13387.5,Outlet
Walmart,1197831,07-09-2020,South,Texas,Houston,Women's Street Footwear,50,900,45000,15750,Outlet
Walmart,1197831,08-09-2020,South,Texas,Houston,Women's Athletic Footwear,50,625,31250,14062.5,Outlet
Walmart,1197831,09-09-2020,South,Texas,Houston,Men's Apparel,45,625,28125,8437.5,Outlet
Walmart,1197831,10-09-2020,South,Texas,Houston,Women's Apparel,55,850,46750,23375,Outlet
Walmart,1197831,11-09-2020,South,Texas,Houston,Men's Street Footwear,45,800,36000,12600,Outlet
Walmart,1197831,12-09-2020,South,Texas,Houston,Men's Athletic Footwear,45,800,36000,12600,Outlet
Walmart,1197831,13-09-2020,South,Texas,Houston,Women's Street Footwear,50,750,37500,13125,Outlet
Walmart,1197831,14-09-2020,South,Texas,Houston,Women's Athletic Footwear,50,600,30000,13500,Outlet
Walmart,1197831,15-09-2020,South,Texas,Houston,Men's Apparel,45,575,25875,7762.5,Outlet
Walmart,1197831,16-09-2020,South,Texas,Houston,Women's Apparel,55,750,41250,20625,Outlet
Walmart,1197831,20-10-2020,South,Texas,Houston,Men's Street Footwear,45,900,40500,14175,Outlet
Walmart,1197831,21-10-2020,South,Texas,Houston,Men's Athletic Footwear,45,900,40500,14175,Outlet
Walmart,1197831,22-10-2020,South,Texas,Houston,Women's Street Footwear,50,825,41250,14437.5,Outlet
Walmart,1197831,23-10-2020,South,Texas,Houston,Women's Athletic Footwear,50,675,33750,15187.5,Outlet
Walmart,1197831,24-10-2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,25-10-2020,South,Texas,Houston,Women's Apparel,55,850,46750,23375,Outlet
Walmart,1197831,26-10-2020,South,Texas,Houston,Men's Street Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,27-10-2020,South,Texas,Houston,Men's Athletic Footwear,45,950,42750,14962.5,Outlet
Walmart,1197831,28-10-2020,South,Texas,Houston,Women's Street Footwear,50,850,42500,14875,Outlet
Walmart,1197831,29-10-2020,South,Texas,Houston,Women's Athletic Footwear,50,700,35000,15750,Outlet
Walmart,1197831,30-10-2020,South,Texas,Houston,Men's Apparel,45,650,29250,8775,Outlet
Walmart,1197831,31-10-2020,South,Texas,Houston,Women's Apparel,55,900,49500,24750,Outlet
West Gear,1128299,01-11-2020,South,Texas,Houston,Men's Street Footwear,40,775,31000,10850,Outlet
West Gear,1128299,02-11-2020,South,Texas,Houston,Men's Athletic Footwear,50,775,38750,7750,Outlet
West Gear,1128299,03-11-2020,South,Texas,Houston,Women's Street Footwear,50,775,38750,13562.5,Outlet
West Gear,1128299,04-11-2020,South,Texas,Houston,Women's Athletic Footwear,50,625,31250,9375,Outlet
West Gear,1128299,05-11-2020,West,California,San Francisco,Men's Apparel,55,575,31625,15812.5,Outlet
West Gear,1128299,06-11-2020,West,California,San Francisco,Women's Apparel,50,775,38750,5812.5,Outlet
West Gear,1128299,07-11-2020,West,California,San Francisco,Men's Street Footwear,40,825,33000,11550,Outlet
West Gear,1128299,08-11-2020,West,California,San Francisco,Men's Athletic Footwear,50,725,36250,7250,Outlet
West Gear,1128299,09-11-2020,West,California,San Francisco,Women's Street Footwear,50,725,36250,12687.5,Outlet
West Gear,1128299,10-11-2020,West,California,San Francisco,Women's Athletic Footwear,50,575,28750,8625,Outlet
West Gear,1128299,11-11-2020,West,California,San Francisco,Men's Apparel,55,500,27500,13750,Outlet
West Gear,1128299,12-11-2020,West,California,San Francisco,Women's Apparel,50,700,35000,5250,Outlet
West Gear,1128299,13-11-2020,West,California,San Francisco,Men's Street Footwear,50,850,42500,14875,Outlet
West Gear,1128299,14-11-2020,West,California,San Francisco,Men's Athletic Footwear,60,700,42000,8400,Outlet
West Gear,1128299,15-11-2020,West,California,San Francisco,Women's Street Footwear,60,700,42000,14700,Outlet
West Gear,1128299,22-12-2020,West,California,San Francisco,Women's Athletic Footwear,60,600,36000,10800,Outlet
West Gear,1128299,23-12-2020,West,California,San Francisco,Men's Apparel,65,500,32500,16250,Outlet
West Gear,1128299,24-12-2020,West,California,San Francisco,Women's Apparel,60,700,42000,6300,Outlet
West Gear,1128299,25-12-2020,West,California,San Francisco,Men's Street Footwear,60,875,52500,18375,Outlet
West Gear,1128299,26-12-2020,West,California,San Francisco,Men's Athletic Footwear,65,675,43875,8775,Outlet
West Gear,1128299,27-12-2020,West,California,San Francisco,Women's Street Footwear,65,725,47125,16493.75,Outlet
West Gear,1128299,28-12-2020,West,California,San Francisco,Women's Athletic Footwear,60,625,37500,11250,Outlet
West Gear,1128299,29-12-2020,West,California,San Francisco,Men's Apparel,65,525,34125,17062.5,Outlet
West Gear,1128299,30-12-2020,,California,San Francisco,Women's Apparel,80,700,56000,8400,Outlet
West Gear,1128299,31-12-2020,West,California,San Francisco,Men's Street Footwear,60,900,54000,21600,Outlet
West Gear,1128299,01-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,750,48750,12187.5,Outlet
West Gear,1128299,02-01-2021,West,California,San Francisco,Women's Street Footwear,65,750,48750,19500,Outlet
West Gear,1128299,03-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,650,39000,13650,Outlet
West Gear,1128299,04-01-2021,,California,San Francisco,Men's Apparel,65,550,35750,19662.5,Outlet
West Gear,1128299,05-01-2021,West,California,San Francisco,Women's Apparel,80,725,58000,11600,Outlet
West Gear,1128299,06-01-2021,West,California,San Francisco,Men's Street Footwear,60,975,58500,23400,Outlet
West Gear,1128299,07-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,825,53625,13406.25,Outlet
West Gear,1128299,08-01-2021,West,California,San Francisco,Women's Street Footwear,65,825,53625,21450,Outlet
West Gear,1128299,09-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,700,42000,14700,Outlet
West Gear,1128299,10-01-2021,West,California,San Francisco,Men's Apparel,65,575,37375,20556.25,Outlet
West Gear,1128299,11-01-2021,West,California,San Francisco,Women's Apparel,80,875,70000,14000,Outlet
West Gear,1128299,12-01-2021,West,California,San Francisco,Men's Street Footwear,60,1025,61500,21525,Outlet
West Gear,1128299,13-01-2021,West,California,San Francisco,Men's Athletic Footwear,65,875,56875,11375,Outlet
West Gear,1128299,14-01-2021,West,California,San Francisco,Women's Street Footwear,65,825,53625,18768.75,Outlet
West Gear,1128299,15-01-2021,West,California,San Francisco,Women's Athletic Footwear,60,725,43500,13050,Outlet
West Gear,1128299,16-01-2021,West,California,San Francisco,Men's Apparel,65,775,50375,25187.5,Outlet
West Gear,1128299,17-01-2021,West,California,San Francisco,Women's Apparel,80,775,62000,9300,Outlet
West Gear,1128299,18-01-2021,West,California,San Francisco,Men's Street Footwear,65,975,63375,22181.25,Outlet
West Gear,1128299,19-01-2021,West,California,San Francisco,Men's Athletic Footwear,70,925,64750,12950,Outlet
West Gear,1128299,20-01-2021,West,California,San Francisco,Women's Street Footwear,65,800,52000,18200,Outlet
West Gear,1128299,21-01-2021,West,California,San Francisco,Women's Athletic Footwear,65,750,48750,14625,Outlet
West Gear,1128299,22-01-2021,West,California,San Francisco,Men's Apparel,75,750,56250,28125,Outlet
West Gear,1128299,23-01-2021,West,California,San Francisco,Women's Apparel,80,725,58000,8700,Outlet
West Gear,1128299,24-01-2021,West,California,San Francisco,Men's Street Footwear,55,925,50875,15262.5,Outlet
West Gear,1128299,25-01-2021,West,California,San Francisco,Men's Athletic Footwear,60,925,55500,8325,Outlet
West Gear,1128299,26-01-2021,West,California,San Francisco,Women's Street Footwear,55,775,42625,12787.5,Outlet
West Gear,1128299,27-01-2021,West,California,San Francisco,Women's Athletic Footwear,55,725,39875,9968.75,Outlet
West Gear,1128299,28-01-2021,West,California,San Francisco,Men's Apparel,65,725,47125,21206.25,Outlet
West Gear,1128299,29-01-2021,West,California,San Francisco,Women's Apparel,70,775,54250,5425,Outlet
West Gear,1128299,30-01-2021,West,California,San Francisco,Men's Street Footwear,55,875,48125,14437.5,Outlet
West Gear,1128299,31-01-2021,West,California,San Francisco,Men's Athletic Footwear,60,875,52500,7875,Outlet
West Gear,1128299,01-02-2021,West,California,San Francisco,Women's Street Footwear,55,700,38500,11550,Outlet
West Gear,1128299,02-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,675,37125,9281.25,Outlet
West Gear,1128299,03-02-2021,West,California,San Francisco,Men's Apparel,65,650,42250,19012.5,Outlet
West Gear,1128299,04-02-2021,West,California,San Francisco,Women's Apparel,70,700,49000,4900,Outlet
West Gear,1128299,05-02-2021,West,California,San Francisco,Men's Street Footwear,55,875,48125,14437.5,Outlet
West Gear,1128299,06-02-2021,West,California,San Francisco,Men's Athletic Footwear,60,875,52500,7875,Outlet
West Gear,1128299,07-02-2021,West,California,San Francisco,Women's Street Footwear,55,725,39875,11962.5,Outlet
West Gear,1128299,08-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,700,38500,9625,Outlet
West Gear,1128299,09-02-2021,West,California,San Francisco,Men's Apparel,65,650,42250,19012.5,Outlet
West Gear,1128299,10-02-2021,West,California,San Francisco,Women's Apparel,70,775,54250,5425,Outlet
West Gear,1128299,11-02-2021,West,California,San Francisco,Men's Street Footwear,55,975,53625,16087.5,Outlet
West Gear,1128299,12-02-2021,West,California,San Francisco,Men's Athletic Footwear,60,975,58500,8775,Outlet
West Gear,1128299,13-02-2021,West,California,San Francisco,Women's Street Footwear,55,775,42625,12787.5,Outlet
West Gear,1128299,14-02-2021,West,California,San Francisco,Women's Athletic Footwear,55,775,42625,10656.25,Outlet
West Gear,1128299,15-02-2021,West,California,San Francisco,Men's Apparel,65,700,45500,20475,Outlet
West Gear,1128299,16-02-2021,West,California,San Francisco,Women's Apparel,70,800,56000,5600,Outlet
Kohl's,1189833,17-02-2021,West,California,San Francisco,Men's Street Footwear,35,700,24500,9800,Outlet
Kohl's,1189833,18-02-2021,West,California,San Francisco,Men's Athletic Footwear,45,700,31500,7875,Outlet
Kohl's,1189833,09-03-2021,West,California,San Francisco,Women's Street Footwear,45,700,31500,12600,Outlet
Kohl's,1189833,10-03-2021,West,California,San Francisco,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,11-03-2021,West,California,Los Angeles,Men's Apparel,50,500,25000,13750,Outlet
Kohl's,1189833,12-03-2021,West,California,Los Angeles,Women's Apparel,45,700,31500,6300,Outlet
Kohl's,1189833,13-03-2021,West,California,Los Angeles,Men's Street Footwear,35,750,26250,10500,Outlet
Kohl's,1189833,14-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,29250,7312.5,Outlet
Kohl's,1189833,15-03-2021,West,California,Los Angeles,Women's Street Footwear,45,675,30375,12150,Outlet
Kohl's,1189833,16-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,23625,8268.75,Outlet
Kohl's,1189833,17-03-2021,West,California,Los Angeles,Men's Apparel,50,450,22500,12375,Outlet
Kohl's,1189833,18-03-2021,West,California,Los Angeles,Women's Apparel,45,650,29250,5850,Outlet
Kohl's,1189833,19-03-2021,West,California,Los Angeles,Men's Street Footwear,35,800,28000,11200,Outlet
Kohl's,1189833,20-03-2021,West,California,Los Angeles,Men's Athletic Footwear,45,650,29250,7312.5,Outlet
Kohl's,1189833,21-03-2021,West,California,Los Angeles,Women's Street Footwear,45,650,29250,11700,Outlet
Kohl's,1189833,22-03-2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,23-03-2021,West,California,Los Angeles,Men's Apparel,50,425,21250,11687.5,Outlet
Kohl's,1189833,06-04-2021,West,California,Los Angeles,Women's Apparel,45,625,28125,5625,Outlet
Kohl's,1189833,07-04-2021,West,California,Los Angeles,Men's Street Footwear,45,800,36000,14400,Outlet
Kohl's,1189833,08-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50,600,30000,7500,Outlet
Kohl's,1189833,09-04-2021,West,California,Los Angeles,Women's Street Footwear,50,625,31250,12500,Outlet
Kohl's,1189833,10-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45,525,23625,8268.75,Outlet
Kohl's,1189833,11-04-2021,West,California,Los Angeles,Men's Apparel,50,425,21250,11687.5,Outlet
Kohl's,1189833,12-04-2021,West,California,Los Angeles,Women's Apparel,65,600,39000,7800,Outlet
Kohl's,1189833,13-04-2021,West,California,Los Angeles,Men's Street Footwear,45,800,36000,14400,Outlet
Kohl's,1189833,14-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50,650,32500,8125,Outlet
Kohl's,1189833,15-04-2021,West,California,Los Angeles,Women's Street Footwear,50,650,32500,13000,Outlet
Kohl's,1189833,16-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45,550,24750,8662.5,Outlet
Kohl's,1189833,17-04-2021,West,California,Los Angeles,Men's Apparel,50,450,22500,12375,Outlet
Kohl's,1189833,18-04-2021,West,California,Los Angeles,Women's Apparel,65,625,40625,8125,Outlet
Kohl's,1189833,19-04-2021,West,California,Los Angeles,Men's Street Footwear,45,900,40500,16200,Outlet
Kohl's,1189833,20-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50,750,37500,9375,Outlet
Kohl's,1189833,21-04-2021,West,California,Los Angeles,Women's Street Footwear,50,750,37500,15000,Outlet
Kohl's,1189833,22-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45,625,28125,9843.75,Outlet
Kohl's,1189833,23-04-2021,West,California,Los Angeles,Men's Apparel,50,500,25000,13750,Outlet
Kohl's,1189833,24-04-2021,West,California,Los Angeles,Women's Apparel,65,800,52000,10400,Outlet
Kohl's,1189833,25-04-2021,West,California,Los Angeles,Men's Street Footwear,45,950,42750,17100,Outlet
Kohl's,1189833,26-04-2021,West,California,Los Angeles,Men's Athletic Footwear,50,800,40000,10000,Outlet
Kohl's,1189833,27-04-2021,West,California,Los Angeles,Women's Street Footwear,50,750,37500,15000,Outlet
Kohl's,1189833,28-04-2021,West,California,Los Angeles,Women's Athletic Footwear,45,650,29250,10237.5,Outlet
Kohl's,1189833,29-04-2021,West,California,Los Angeles,Men's Apparel,50,700,35000,19250,Outlet
Kohl's,1189833,30-04-2021,West,California,Los Angeles,Women's Apparel,65,700,45500,9100,Outlet
Kohl's,1189833,01-05-2021,West,California,Los Angeles,Men's Street Footwear,50,900,45000,18000,Outlet
Kohl's,1189833,02-05-2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,46750,11687.5,Outlet
Kohl's,1189833,03-05-2021,West,California,Los Angeles,Women's Street Footwear,50,725,36250,14500,Outlet
Kohl's,1189833,04-05-2021,West,California,Los Angeles,Women's Athletic Footwear,50,675,33750,11812.5,Outlet
Kohl's,1189833,05-05-2021,West,California,Los Angeles,Men's Apparel,60,675,40500,22275,Outlet
Kohl's,1189833,06-05-2021,West,California,Los Angeles,Women's Apparel,65,650,42250,8450,Outlet
Kohl's,1189833,07-05-2021,West,California,Los Angeles,Men's Street Footwear,50,850,42500,17000,Outlet
Kohl's,1189833,08-05-2021,West,California,Los Angeles,Men's Athletic Footwear,55,850,46750,11687.5,Outlet
